bank,state,branchname,branchaddress
ACCESS BANK PLC,BENUE,GBOKO,29 JS TARKA STREET
ACCESS BANK PLC,KADUNA,ANCHAU,"ALONG DISTRICT HEAD ROAD,ANCHAU TOWN"
ACCESS BANK PLC,SOKOTO,SHAGARI,"GUSAU/ZURU BYE-PASS JUNCTION, SHAGARI"
ACCESS BANK PLC,SOKOTO,GADA MARKET,ALONG GADA-ILELA ROAD
ACCESS BANK PLC,ZAMFARA,KAURA NAMODA,ALONG KAURA/SHINKAFI ROAD
ACCESS BANK PLC,EDO,EKENWA-BENIN,"ALONG EKENWAN ROAD, OPPOSITE GT PLAZA"
ACCESS BANK PLC,EDO,UROMI,NO 1 MISSION ROAD
ACCESS BANK PLC,AKWA IBOM ,GIBBS STREET,"21/23 Gibss Street, Off Oron Road"
ACCESS BANK PLC,OSUN,APOMU,OKE OLA-APOMU ISOKAN LGA
ACCESS BANK PLC,OYO,SANGO-IBADAN,"ALONG POLY ROAD, SANGO"
ACCESS BANK PLC,OYO,MONOTAN-IBADAN,MONOTAN ROAD
ACCESS BANK PLC,OYO,AKANRAN - IBADAN,ALONG AKANRAN ROAD
ACCESS BANK PLC,OYO,SAKI,SAKI WEST LGA
ACCESS BANK PLC,OYO,ERUWA,ORITA ERUWA
ACCESS BANK PLC,OYO,APATA-IBADAN,"APATA WIRE AND CABLE AREA, APATA"
ACCESS BANK PLC,OYO,GBAGI MARKET,NEW GBAGI MARKET
ACCESS BANK PLC,ONDO,ORE,"ADJACENT NNPC DEPOT, ORE-ONDO"
ACCESS BANK PLC,ONDO,OWO,128 OBA ADESINA ROAD
ACCESS BANK PLC,EKITI,IKERE,OPPOSITE IKERE-AKURE ROAD
ACCESS BANK PLC,OSUN,IREE,ALONG IKIRUN ROAD
ACCESS BANK PLC,FCT ABUJA,AMINU KANO ABUJA,"PLOT 1195, AMINU KANO CRESCENT, WUSE 2, ABUJA."
ACCESS BANK PLC,FCT ABUJA,"ADETOKUNBO ADEMOLA, ABUJA","PLOT 833, ADETOKUNBO ADEMOLA CR. WUSE 2, ABUJA."
ACCESS BANK PLC,FCT ABUJA,"HERBERT MACAULAY, ABUJA","PPPRA BUILDING. PLOT 1012 CADASTRAL ZONE, CENTRAL BUSINESS DISTRICT, ABUJA."
ACCESS BANK PLC,FCT ABUJA,NATIONAL ASSEMBLY," NATIONAL ASSEMBLY COMPLEX , WHITE HOUSE SENATE WING, 3 ARM ZONE, FCT, ABUJA."
ACCESS BANK PLC,FCT ABUJA,GARKI,"PLOT 1231, AHMADU BELLO WAY, GARKI, AREA II, FCT, ABUJA."
ACCESS BANK PLC,FCT ABUJA,ASOKORO,"PLOT 87, YAKUBU GOWON CRESCENT, ASOKORO, ABUJA."
ACCESS BANK PLC,FCT ABUJA,KUBWA,"PLOT 59, GADO NASKO ROAD, KUBWA, ABUJA."
ACCESS BANK PLC,FCT ABUJA,WUSE MARKET,"WUSE MARKET, WUSE ZONE 5. ABUJA"
ACCESS BANK PLC,FCT ABUJA,"BANK OF INDUSTRY (BOI),ABUJA","PLOT 256, HERBERT MACAULAY WAY, WUSE, ZONE 6, ABUJA."
ACCESS BANK PLC,FCT ABUJA,JOS STREET,"6 JOS STREET, AREA 3, GARKI, FCT, ABUJA."
ACCESS BANK PLC,FCT ABUJA,GARKI AREA 11,"PLOT 599, CADASTRAL ZONE A3, GWARJO CLOSE, OFF GIMBIYA ST, GARKI, AREA II ABUJA."
ACCESS BANK PLC,FCT ABUJA,WUSE 2,"PLOT 2401 CADASTRALS ZONE A7, WUSE, FCT, ABUJA"
ACCESS BANK PLC,FCT ABUJA,FEDERAL SECRETARIAT ABUJA,"PHASE 1, BLK 4A, 015, FED. SECRETARIAT COMPLEX, CENTRAL BUSINESS DISTRICT, ABUJA."
ACCESS BANK PLC,FCT ABUJA,KARU,"PLOT 312, NYANYA SPORTS CENTRE LAYOUT, CADASTRAL ZONE, KARU DISTRICT, FC T, ABUJA."
ACCESS BANK PLC,FCT ABUJA,NASDA,"NASRDA COMPLEX,OBASANJO SPACE CENTRE, AIRPORT ROAD,LUGBE.ABUJA"
ACCESS BANK PLC,FCT ABUJA,UTAKO,"PLOT 903, OBAFEMI AWOLOWO WAY, UTAKO, FCT, ABUJA."
ACCESS BANK PLC,FCT ABUJA,LADOKE AKINTOLA BLVD,"PLOT 1244, LADOKE AKINTOLA BOULEVARD, GARKI 2, ABUJA."
ACCESS BANK PLC,FCT ABUJA,DEI DEI,"ZONE B2.582, DEI DEI BUILDING MATERIAL INTL MKT, DEI DEI, FCT, ABUJA."
ACCESS BANK PLC,FCT ABUJA,FED MIN OF JUSTICE,"FED. MIN. OF JUSTICE COMPLEX, OFF SHEHU SHAGARI WAY, MAITAMA, ABUJA."
ACCESS BANK PLC,FCT ABUJA,FEDERAL MORTGAGE BANK,"PLOT 266, CADASRAL OA, FEDERAL MORTGAGE BANK OF NIGERIA BLDING, CENTRAL BUS. DISTRICT , ABUJA"
ACCESS BANK PLC,FCT ABUJA,ABUJA NNPC TOWERS,"BLOCK B NNPC TOWERS, H/MACUALAY WAY, CBD, FCT, ABUJA."
ACCESS BANK PLC,FCT ABUJA,MAITAMA,"50, GANA STREET ,CADASTRAL ZONE A05, MAITAMA, FCT, ABUJA."
ACCESS BANK PLC,FCT ABUJA,GWAGWALADA,"353, SPECIALIST HOSPITAL ROAD, GWAGWALADA, FCT, ABUJA."
ACCESS BANK PLC,FCT ABUJA,DURUMI,"PLOT 1037, SHAFA SHOPPING CENTRE, BY OLD FEDERAL SECRETARIAT, FCT, ABUJA."
ACCESS BANK PLC,FCT ABUJA,GWARIMPA,"PLOT 5, 3RD AVENUE, GWARIMPA ESTATE, ABUJA"
ACCESS BANK PLC,FCT ABUJA,"GARKI ABUJA, CENTRAL BUSINESS AREA","N417,UACN BUILDING, PLOT 273, CENTRAL BUSINESS AREA"
ACCESS BANK PLC,FCT ABUJA,"DEI DEI ABUJA, BUILDING MATERIALS MARKET","DEI-DEI, BUILDING MATERIAL MARKET "
ACCESS BANK PLC,FCT ABUJA,"WUSE II ABUJA, ADETOKUNBO ADEMOLA CRESCENT","WUSE 2, PLOT 21, ADETOKUNBO ADEMOLA CRESCENT, CADASTRAL ZONE 8"
ACCESS BANK PLC,FCT ABUJA,"GARKI ABUJA, MOHAMMED BUHARI WAY","PLOT 792, MOHAMMED BUHARI WAY, CENTRAL BUSINESS DISTRICT"
ACCESS BANK PLC,FCT ABUJA,"NYANYA ABUJA, OPP. NYANYA SHOPPING COMPLEX","NYANYA, OPPOSITE NYANYA SHOPPING COMPLEX"
ACCESS BANK PLC,NIGER ,MINNA,"1, DAVID MARK ROAD, TUNGA ROUND ABOUT, MINNA, NIGER STATE."
ACCESS BANK PLC,KOGI ,OBAJANA CASH CENTRE,"ACCESS BANK, OPP. DANGOTE CEM. FACTORY, OBAJANA, KOGI STATE."
ACCESS BANK PLC,KOGI ,LOKOJA,"82, LOKOJA-KABBA ROAD, LOKOJA. KOGI STATE."
ACCESS BANK PLC,KOGI ,OKENE,"46, LAGOS-ABUJA ROAD, OKENE, KOGI STATE."
ACCESS BANK PLC,NIGER ,SULEJA,"19, SULEIMAN BARAU ROAD, SULEJA, NIGER STATE."
ACCESS BANK PLC,NIGER ,SULEJA DEPOT CASH CENTRE,"NNPC DEPOT, SULEJA, NIGER STATE."
ACCESS BANK PLC,NIGER ,BIDA,"ALONG BCC ROAD, BIDA, NIGER STATE"
ACCESS BANK PLC,NIGER ,MINNA 2,"2, OLD AIRWAY ROAD,  OFF BOSO ROAD, MINNA, NIGER STATE."
ACCESS BANK PLC,KOGI ,ANYIGBA,"PLOT 4022, OKOHI, ANKPA ROAD, ANYIGBA, KOGI STATE"
ACCESS BANK PLC,FCT ABUJA,RET SHOP -FED. SECRETARIAT ABJ(061),"FEDERAL SECRETARIAT,PHASE 3, FEDERAL MINISTRY OF EDUCATION,GROUND FLOOR, AHMADU BELLO WAY, CENTRAL BUSINESS DISTRICT"
ACCESS BANK PLC,NIGER ,"MINNA, PAIKO ROAD","MINNA, 118, PAIKO ROAD"
ACCESS BANK PLC,FCT ABUJA,"GARKI ABUJA, AHMADU BELLO WAY","AHMADU BELLO WAY , PLOT 1486"
ACCESS BANK PLC,NIGER ,"SULEJA, IBB MARKET","SULEJA, OPPOSITE IBB MAIN MARKET, ALONG MINNA ROAD"
ACCESS BANK PLC,KOGI ,"LOKOJA, MURTALA MUHAMMED WAY","LOKOJA, GOVERNMENT HOUSE JUNCTION, MURTALA MOHAMMED WAY"
ACCESS BANK PLC,FCT ABUJA,"KUBWA ABUJA, NASCO ROAD","KUBWA, PLOT 27, CADASTRAL ZONE 0705, GADO NASCO ROAD, KUBWA (PHASE IV)"
ACCESS BANK PLC,FCT ABUJA,"ZONE 4 ABUJA, HERBERT MACAULEY WAY","ZONE 4, PLOT 2097, HERBERT MACAULAY WAY, ZONE 4, ABUJA"
ACCESS BANK PLC,FCT ABUJA,"GWAGWALADA ABUJA, PARK LANE","GWAGWALADA, PLOT 52 PARK LANE FCT ABUJA"
ACCESS BANK PLC,FCT ABUJA,"WUSE 2 ABUJA, AMINU KANO CRESCENT","BANEX PLAZA, AMINU KANO CRESCENT, WUSE II, FCT"
ACCESS BANK PLC,FCT ABUJA,GWARINPA,"GWARINPA, 1ST AVENUE GWARINPA, ABUJA"
ACCESS BANK PLC,FCT ABUJA,"ZONE 5 ABUJA, MICHAEL OKPARA STREET","ZONE 5,MICHAEL OKPARA ST.,ABUJA"
ACCESS BANK PLC,FCT ABUJA,"ABUJA,LADOKE AKINTOLA BOLVD","PLOT 283, LADOKE AKINTOLA BLVD, GARKI II, ABUJA"
ACCESS BANK PLC,FCT ABUJA,"LIFE CAMP ABUJA, JABI-KARMO ROAD","PLOT 176 JABI-KARMO ROAD, AFTER FISH MARKET LIFE CAMP"
ACCESS BANK PLC,FCT ABUJA,"RET SHOP- SAVANNAH SUITES, ABJ(013)",SAVANNAH SUITE HOTEL
ACCESS BANK PLC,FCT ABUJA,RET SHOP -AREA 1 COMPLEX ABUJA(077),"AREA 1, 1STFLOOR, AREA 1 SHOPPING COMPLEX, ABUJA"
ACCESS BANK PLC,FCT ABUJA,"RET SHOP - GUDU MARKET, ABUJA (077)","GUDU MARKET, SHOP R 144, BLOCK 6, GUDU MARKET AFTER APO"
ACCESS BANK PLC,LAGOS,IBEJU LEKKI,OPPOSITE DANGOTE FERTILIZER FACTORY
ACCESS BANK PLC,LAGOS,VICTORIA ISLAND,"PLOT 1665, OYIN JOLAYEMI STREET, VICTORIA ISLAND, LAGOS STATE."
ACCESS BANK PLC,LAGOS,IDEJO,"PLOT 161E,  IDEJO STREET, OFF ADEOLA  ODEKU, VICTORIA ISLAND, LAGOS STATE."
ACCESS BANK PLC,LAGOS,IKOTA,"SUITE E 79-81 AND 116-118 VGC, IKOTA SHOPPING COMPLEX, IKOTA, LAGOS STATE."
ACCESS BANK PLC,LAGOS,ADETOKUNBO ADEMOLA,"12 ADETOKUNBO ADEMOLA STREET, V/ISLAND"
ACCESS BANK PLC,LAGOS,LIGALI AYORINDE,"PLOT 15, LIGALI AYORINDE, VICTORIA ISLAND, LAGOS STATE."
ACCESS BANK PLC,LAGOS,ADEYEMO ALAKIJA,"1, IDOWU TAYLOR STREET, COMMERCE HOUSE, VICTORIA ISLAND,LAGOS STATE."
ACCESS BANK PLC,LAGOS,LEKKI CHEVRON,"KM 17, LEKKI EPE EXP.WAY, CHEVRON ROUND ABOUT,  LEKKI, LAGOS STATE."
ACCESS BANK PLC,LAGOS,ADEOLA ODEKU,"11A, ADEOLA ODEKU STREET, VICTORIA ISLAND, LAGOS STATE."
ACCESS BANK PLC,LAGOS,AWOLOWO ROAD,"58, AWOLOWO ROAD,  IKOYI, LAGOS STATE."
ACCESS BANK PLC,LAGOS,ALFRED REWANE ROAD,"1, ALFRED REWANE ROAD, IKOYI, LAGOS STATE."
ACCESS BANK PLC,LAGOS,ADEOLA HOPEWELL,"PLOT 1607, ADEOLA HOPEWELL, VICTORIA ISLAND, LAGOS STATE."
ACCESS BANK PLC,LAGOS,AWOLOWO ROAD 2,"87, AWOLOWO ROAD , IKOYI, LAGOS STATE."
ACCESS BANK PLC,LAGOS,LEKKI 1,"PLT 7, BLK 2, ONIRU PRIVATE ESTATE, LEKKI, LAGOS STATE."
ACCESS BANK PLC,LAGOS,AJOSE ADEOGUN," 291 A&B AJOSE ADEOGUN, V.I."
ACCESS BANK PLC,LAGOS,ADEOLA ODEKU 2,"44, ADEOLA ODEKU STREET , VICTORIA ISLAND, LAGOS STATE."
ACCESS BANK PLC,LAGOS,MURI OKUNOLA,"211, MURI OKUNOLA STREET, VICTORIA ISLAND, LAGOS STATE. "
ACCESS BANK PLC,LAGOS,SAKA TINUBU,"44A, SAKA TINUBU STREET, OFF ADEOLA ODEKU STREET, VI, LAGOS STATE. "
ACCESS BANK PLC,LAGOS,EPE,"BESIDE FIRE STATION, ITA-MARUNI, IJEBU ODE ROAD, EPE, LAGOS STATE"
ACCESS BANK PLC,LAGOS,ADMIRALTY WAY,"10, ADMIRALTY ROAD, LEKKI, LAGOS STATE"
ACCESS BANK PLC,LAGOS,"VICTORIA ISLAND, ADEOLA ODEKU","PLOT 64, ADEOLA ODEKU STREET "
ACCESS BANK PLC,LAGOS,"IKOYI, AWOLOWO ROAD","80, AWOLOWO ROAD, IKOYI"
ACCESS BANK PLC,LAGOS,"LEKKI, LEKKI-EPE EXPRESSWAY","LEKKI, PLOT 10, BLOCK 117, LEKKI PENISULA"
ACCESS BANK PLC,LAGOS,"AJAH, LEKKI - EPE EXPRESSWAY","AJAH BRANCH, LEKKI-EPE EXPRESSWAY, THOMAS ESTATE (BY DOREN HOSPITAL), OPP. ROYAL GARDEN, AJIWE -AJAH"
ACCESS BANK PLC,LAGOS,"AJAH, ADDO ROAD","ADDO RD, AJAH"
ACCESS BANK PLC,LAGOS,"LEKKI PHASE I, ADMIRALTY WAY","PLOT 1, BLOCK 36, LEKKI PENINSULA SCHEME 1, LAGOS STATE"
ACCESS BANK PLC,LAGOS,"RET SHOP - PALMS MALL, LAGOS (026)","THE PALMS RETAIL SHOP 41, THE PALMS SHOPPING COMPLEX, V/ ISLAND"
ACCESS BANK PLC,LAGOS,"RET SHOP - IKOTA, VGC LAGOS (095)","IKOTA RETAIL SHOP, C96 -101, IKOTA SHOPPING COMPLEX, VGC"
ACCESS BANK PLC,LAGOS,BURMA ROAD APAPA,"4, BURMA ROAD, APAPA, LAGOS STATE."
ACCESS BANK PLC,LAGOS,BROAD   STREET ,"115/117, BROAD STREET, LAGOS ISLAND, LAGOS STATE."
ACCESS BANK PLC,LAGOS,"LAGOS ISLAND, KING GEORGE V","KING GEORGE V(11, KING GEORGE VROAD, ONIKAN)"
ACCESS BANK PLC,LAGOS,"COMMERCIAL ROAD, APAPA","8/10, COMMERCIAL ROAD, APAPA, LAGOS STATE."
ACCESS BANK PLC,LAGOS,CREEK ROAD APAPA,"24A, CREEK ROAD,  APAPA, LAGOS STATE."
ACCESS BANK PLC,LAGOS,TINCAN ISLAND,KIRIKIRI LIGHTER TERMINAL 2 TINCAN ISLAND LAGOS
ACCESS BANK PLC,LAGOS,APONGBON,"27/29, ISSA WILIAMS STREET, LAGOS ISLAND, LAGOS STATE."
ACCESS BANK PLC,LAGOS,IBAFON,"PLOT 24, OPPOSITE IBRU JETTY, OLODI APAPA, LAGOS STATE."
ACCESS BANK PLC,LAGOS,POINT ROAD,"I, POINT ROAD, APAPA, LAGOS STATE."
ACCESS BANK PLC,LAGOS,MARINA BOI,"23, BANK OF INDUSTRY BULIDING, BROAD STREET, MARINA, LAGOS STATE."
ACCESS BANK PLC,LAGOS,48 MARINA,"48, MARINA STREET, LAGOS ISLAND, LAGOS STATE."
ACCESS BANK PLC,LAGOS,BROAD STREET 2,"32, BROAD STREET, LAGOS ISLAND, LAGOS STATE."
ACCESS BANK PLC,LAGOS,MOLONEY,"34, MOLONEY STREET, LAGOS ISLAND, LAGOS STATE."
ACCESS BANK PLC,LAGOS,WHARF ROAD,"13-15 WHARF ROAD, APAPA, LAGOS STATE."
ACCESS BANK PLC,LAGOS,ORILE COKER,"3, ALHAJI OWOKONIRAN STREET, ORILE COKER, LAGOS STATE."
ACCESS BANK PLC,LAGOS,KEFFI STREET,"13, KEFFI STREET, OFF AWOLOWO ROAD, IKOYI, LAGOS STATE"
ACCESS BANK PLC,LAGOS,"LAGOS ISLAND, MARINA","MARINA, 23A, ,MAMMAN KONTAGORA HOUSE, MARINA"
ACCESS BANK PLC,LAGOS,"APAPA, WHARF ROAD","SAGITTARIUS BLOCK, ELEGANZA PLAZA, WHARF ROAD"
ACCESS BANK PLC,LAGOS,"LAGOS ISLAND, BALOGUN STREET","BALOGUN, 136, BALOGUN STREET, LAGOS ISLAND"
ACCESS BANK PLC,LAGOS,"LAGOS ISLAND, BROAD STREET","BROAD STREET, 121, BROAD STREET, LAGOS ISLAND"
ACCESS BANK PLC,LAGOS,"APAPA, OSHODI EXPRESSWAY","30, APAPA –OSHODI EXPRESSWAY, COCONUT B/STOP"
ACCESS BANK PLC,LAGOS,"APAPA, LIVERPOOL ROAD","LIVERPOOL, (21, LIVERPOOL, APAPA)"
ACCESS BANK PLC,LAGOS,"APAPA, BURMA ROAD","11 BURMA RD, APAPA"
ACCESS BANK PLC,LAGOS,"OBALENDE, KEFFI STREET","NO. 6 KEFFI STREET OFF AWOLOWO ROAD, IKOYI"
ACCESS BANK PLC,LAGOS,RET SHOP - RORO PORT (010),"RORO PORT(RORO PORT, TIN CAN ISLAND, APAPA)"
ACCESS BANK PLC,LAGOS,"RET SHOP-KIRIKIRI, APAPA LAGOS(083)","KIRIKIRI, KARIMU STREET, KIRIKIRI TOWN, APAPA "
ACCESS BANK PLC,LAGOS,TRADE FAIR,"ICC , LAGOS INTERNATIONAL TFC, LAGOS BADAGRY EXP. RD, OJO, LAGOS STATE."
ACCESS BANK PLC,LAGOS,OLD OJO,"153, OLD OJO ROAD, KUJE-AMUWO, AGBOJU, LAGOS STATE."
ACCESS BANK PLC,LAGOS,ASPAMDA,"ZONE B, R4 MERCY CAFÉ, ASPAMDA PLAZA, TRADE FAIR COMPLEX, OJO, LAGOS STATE."
ACCESS BANK PLC,LAGOS,ALABA INTERNATIONAL MARKET,"44/45 ALABA INTERNATIONAL MARKET ROAD, ALABA, LAGOS STATE"
ACCESS BANK PLC,LAGOS,FESTAC TOWN,"4TH AVENUE, FESTAC, LAGOS STATE."
ACCESS BANK PLC,OGUN ,AGBARA,"PLOT 2CA/4 ILARO ROAD, AGBARA INDUSTRIAL ESTATE, AGBARA, OGUN STATE."
ACCESS BANK PLC,LAGOS,AGUDOSI,"4 AGUDOSI STR, OFF OJO ROAD, ALABA INTL MARKET, ALABA, LAGOS STATE."
ACCESS BANK PLC,LAGOS,MAZA MAZA,"17, SIKIRU OTUNBA STR, OLD OJO ROAD, BADAGRY EXPRESSWAY, MAZAMAZA, LAGOS STATE."
ACCESS BANK PLC,LAGOS,SATELLITE TOWN,"438, OLD OJO ROAD, ABULE - ADO, SATELITE TOWN, LAGOS STATE."
ACCESS BANK PLC,LAGOS,OLD ALABA MOTOR PARK,"OLD ALABA MOTOR PARK, OFF OJO IGBEDE, OJO, LAGOS STATE."
ACCESS BANK PLC,LAGOS,LASU,"KM 20, LAGOS BADAGRY EXPRESS WAY, OJO, LAGOS STATE."
ACCESS BANK PLC,LAGOS,FESTAC 2,"PLOT 650A, 32 ROAD, 3RD AVENUE, FESTAC TOWN, LAGOS STATE"
ACCESS BANK PLC,LAGOS,ARTICLE MARKET,"ARTICLE DEALERS MARKET, OPPOSITE TRADE FAIR COMPLEX, OJO, LAGOS"
ACCESS BANK PLC,LAGOS,LASU CAMPUS,"LAGOS STATE UNIVERSITY, KM 20 LAGOS-BADAGRY EXPRESSWAY, OJO LAGOS"
ACCESS BANK PLC,LAGOS,"ALABA INTERNATIONAL, OLD GARAGE","OLD GARAGE, ALABA INTERNATIONAL MARKET"
ACCESS BANK PLC,LAGOS,"TRADE FAIR COMPLEX, ASPAMDA, HALL 2","TRADE FAIR COMPLEX 1, HALL 2 ASPAMDA PLAZA, TRADE FAIR COMPLEX, BADAGRY EXPRESSWAY"
ACCESS BANK PLC,LAGOS,"COKER, LAGOS/BADAGRY EXPRESSWAY","COKER, KM 19, LAGOS/ BADAGRY EXPRESSWAY, COKER BUS STOP ORILE"
ACCESS BANK PLC,LAGOS,"BBA LAGOS, ATIKU ABUBAKAR PLAZA","BALOGUN BUSINESS ASSOCIATION (BBA 1), ATIKU ABUBAKAR PLAZA, TRADE FAIR COMPLEX, BADAGRY EXPRESSWAY"
ACCESS BANK PLC,LAGOS,"ALABA INTERNATIONAL, DOBBILL PLAZA AVENUE","DOBBIL PLAZA AVENUE, ALABA INTERNATIONAL MARKET"
ACCESS BANK PLC,LAGOS,"BBA LAGOS, BANK PLAZA","BALOGUN BUSINESS ASSOCIATION, (BBA 2), BANK PLAZA, TRADE FAIR COMPLEX, BADAGRY EXPRESSWAY "
ACCESS BANK PLC,LAGOS,"TRADE FAIR COMPLEX, ASPAMDA OFFICE BLOCK 2","TRADE FAIR COMPLEX 2, ASPAMDA OFFICE BLOCK 2, TRADE FAIR COMPLEX, BADAGRY EXPRESSWAY"
ACCESS BANK PLC,LAGOS,"FESTAC TOWN, SECOND AVENUE","FESTAC, HOUSE 20, 2ND AVENUE FESTAC TOWN"
ACCESS BANK PLC,OGUN ,"AGBARA INDUSTRIAL ESTATE, AGBARA","AGBARA, PLOT C2/9A, ILARO ROAD, AGBARA INDUSTRIAL ESTATE,"
ACCESS BANK PLC,LAGOS,"SEME BORDER, BADAGRY EXPRESS WAY","SEME BORDER, (SEME BORDER, BADAGRY, LAGOS STATE)"
ACCESS BANK PLC,LAGOS,AMUWO ODOFIN,"AMUWO ODOFIN, PLOT NOS 21, 22 & 23 OPPOSITE ABC TRANSPORT TERMINAL"
ACCESS BANK PLC,LAGOS,"MAZA MAZA, OLD OJO ROAD","MAZA MAZA,37, OLD OJO RD, OJO"
ACCESS BANK PLC,LAGOS,"ALABA, DENSINE PLAZA OLOJO DRIVE","DENSINE PLAZA, OLOJO DRIVE, ALABA, OJO"
ACCESS BANK PLC,LAGOS,"BADAGRY, JOSEPH DOSU ROAD","JOSEPH DOSU WAY, BADAGRY"
ACCESS BANK PLC,LAGOS,RET SHOP - SATELLITE TOWN (028),"SATELLITE TOWN MINI, BLOCK 11, PLOT 4, OLD OJO RD., SATELLITE TOWN"
ACCESS BANK PLC,LAGOS,IKORODU ,"7, AYANGBUREN ROAD, IKORODU, LAGOS STATE."
ACCESS BANK PLC,LAGOS,PALM AVENUE,"56,PALM AVENUE, MUSHIN,LAGOS STATE"
ACCESS BANK PLC,LAGOS,ILUPEJU,"25A, ILUPEJU BYE-PASS, ILUPEJU, LAGOS STATE."
ACCESS BANK PLC,LAGOS,MATORI,"125 LADIPO STREET, MATORI, LAGOS STATE."
ACCESS BANK PLC,LAGOS,IKORODU  2,"68, LAGOS ROAD , IKORODU,LAGOS STATE."
ACCESS BANK PLC,LAGOS,TEJUOSHO,"31, TEJUOSHO STREET, YABA, LAGOS STATE."
ACCESS BANK PLC,LAGOS,ILUPEJU 2,"11, TOWN PLANNING WAY, ILUPEJU, LAGOS STATE."
ACCESS BANK PLC,LAGOS,GBAGADA,"PLOT 286, OSHODI APAPA EXPRESSWAY, GBAGADA PHASE I, LAGOS STATE."
ACCESS BANK PLC,LAGOS,JIBOWU,"38/40, IKORODU ROAD, JIBOWU, LAGOS STATE."
ACCESS BANK PLC,LAGOS,KETU,"533, IKORODU ROAD, KETU, LAGOS STATE."
ACCESS BANK PLC,LAGOS,OJOTA,"1A, OGUDU ROAD, OJOTA, LAGOS STATE. "
ACCESS BANK PLC,LAGOS,ODOGUNYAN,"OPP. 2ND GATE LAGOS POLYTECHNIC, ODOGUNYAN, IKORODU,LAGOS STATE."
ACCESS BANK PLC,LAGOS,OJUELEGBA,"78, OJUELEGBA ROAD, TEJUOSHO, YABA, LAGOS STATE."
ACCESS BANK PLC,LAGOS,MUSHIN,"279, AGEGE MOTOR ROAD, MUSHIN, LAGOS STATE. "
ACCESS BANK PLC,LAGOS,OSHODI,"MOSAFEJO MARKET, OSHODI, LAGOS STATE."
ACCESS BANK PLC,LAGOS,"MATORI, LADIPO STREET","MATORI, 129, LADIPO STREET, MATORI"
ACCESS BANK PLC,LAGOS,"IKORODU, 83 LAGOS ROAD","IKORODU, 83, LAGOS ROAD"
ACCESS BANK PLC,LAGOS,JIBOWU,"JIBOWU, 32, IKORODU ROAD, JIBOWU"
ACCESS BANK PLC,LAGOS,"ILASA, APAPA OSHODI EXPRESSWAY","ILASAMAJA, NO.1 UNITY AVE/SADIKU ST, OSHODI-APAPA EXPRESSWAY"
ACCESS BANK PLC,LAGOS,"GBAGADA, GBAGADA EXPRESSWAY","GBAGADA, PLOT 228, GBAGADA RESIDENTIAL SCHEME "
ACCESS BANK PLC,LAGOS,"OJUELEGBA, SHIFAWU STREET","53/55 SHIFAWU ST, OJUELEGBA"
ACCESS BANK PLC,LAGOS,"OSHODI, OSHODI-APAPA EXPRESSWAY",16B OSHODI-APAPA EXPRESSWAY
ACCESS BANK PLC,LAGOS,"RET SHOP - TEJUOSHO MKT, LAG (050)","TEJUOSHO RETAIL, NO. 6, OJUELEGBA ROAD, OPP. TEJUOSHO MARKET"
ACCESS BANK PLC,LAGOS,RET SHOP - KETU (088),"KETU, PLOT 608, LAGOS -IKORODU ROAD, KETU MILE 12"
ACCESS BANK PLC,LAGOS,RET SHOP - DALEKO (099),"DALEKO,SHOPS 661-670, BANK ROAD, DALEKO MARKET, MUSHIN"
ACCESS BANK PLC,LAGOS,RET SHOP - MAFOLUKU (027),"MAFOLOKU,NO, 77/79, OLD EWU ROAD, MAFOLOKU"
ACCESS BANK PLC,LAGOS,RET SHOP - OJUWOYE MARKET (099),"OJUWOYE MARKET,(190, AGEGE MOTOR ROAD, OJUWOYE)"
ACCESS BANK PLC,LAGOS,IPAJA,"171, ABEOKUTA EXPRESSWAY, IYANA IPAJA, LAGOS STATE."
ACCESS BANK PLC,LAGOS,OSOLO WAY ,"55, MURITALA MOHAMMED AIRPORT ROAD, AJAO ESTATE, ISOLO, LAGOS STATE."
ACCESS BANK PLC,LAGOS,IDI-ARABA,"COLLEGE OF MEDICINE, ISHAGA ROAD, IDI-ARABA, LAGOS STATE."
ACCESS BANK PLC,LAGOS,ALAGBADO,"KM32, DANIEL FARM, LAGOS ABEOKUTA EXP WAY, AGEGE, LAGOS STATE."
ACCESS BANK PLC,LAGOS,ISOLO 1,"113, OKOTA ROAD, OKOTA, ISOLO, LAGOS STATE."
ACCESS BANK PLC,LAGOS,NAHCO,"NAHCO COMPLEX 1, MURTALA MOHAMMED INTL AIRPORT RD, IKEJA, LAGOS STATE."
ACCESS BANK PLC,LAGOS,ABULE-EGBA,"653, ABEOKUTA EXPRESS ROAD, ABULE TAYLOR, ABULE-EGBA, LAGOS STATE."
ACCESS BANK PLC,LAGOS,EGBEDA,"35, AKOWONJO ROAD,EGBEDA, LAGOS STATE."
ACCESS BANK PLC,LAGOS,IKOTUN,"4, IKOTUN JUNCTION, IKOTUN, LAGOS STATE."
ACCESS BANK PLC,LAGOS,AYOBO,"158, AYOBO-IPAJA ROAD, AYOBO, LAGOS STATE."
ACCESS BANK PLC,LAGOS,EJIGBO,"ALONG EJIGBO/IKOTUN ROAD, OPP NNPC JUNCTION, EJIGBO, LAGOS STATE."
ACCESS BANK PLC,LAGOS,IRE AKARI,"1, GODWIN OMONUA STREET, IRE AKARI ESTATE, ISOLO, LAGOS STATE."
